author_name,university_name,homepage,source_file
Achim Jung,University of Birmingham,https://www.birmingham.ac.uk/staff/profiles/computer-science/jung-achim.aspx,csrankings-a.csv
Achim Schweikard,University of Lübeck,https://www.rob.uni-luebeck.de/index.php?id=321,csrankings-a.csv
Achim Streit,Karlsruhe Institute of Technology,http://www.scc.kit.edu/personen/achim.streit.php,csrankings-a.csv
Achraf EL Allali,Mohammed VI Polytechnic University,https://cc.um6p.ma/people/Achraf.EL,csrankings-a.csv
Achuta Kadambi,Univ. of California - Los Angeles,https://www.ee.ucla.edu/achuta-kadambi,csrankings-a.csv
Achutavarrier Prasad Vinod,Nanyang Technological University,http://www.ntu.edu.sg/home/asvinod,csrankings-a.csv
Achyut Mani Tripathi,IIT Dharwad,https://achyutmani.github.io,csrankings-a.csv
Ada Gavrilovska,Georgia Institute of Technology,http://www.cc.gatech.edu/home/ada,csrankings-a.csv
Ada Lerner,Northeastern University,https://www.khoury.northeastern.edu/people/ada-lerner,csrankings-a.csv
Ada Wai-Chee Fu,Chinese University of Hong Kong,http://www.cse.cuhk.edu.hk/~adafu,csrankings-a.csv
Adalbert Gerald Soosai Raj,Univ. of California - San Diego,https://adalbertgerald.github.io,csrankings-a.csv
Adalberto L. Simeone,KU Leuven,https://www.adalsimeone.me,csrankings-a.csv
Adalberto Lafcadio Simeone,KU Leuven,https://www.adalsimeone.me,csrankings-a.csv
Adam A. Porter,University of Maryland - College Park,https://www.cs.umd.edu/users/aporter,csrankings-a.csv
Adam Bargteil,Univ. of Maryland - Baltimore County,http://www.csee.umbc.edu/~adamb,csrankings-a.csv
Adam Bates 0001,Univ. of Illinois at Urbana-Champaign,http://adambates.org,csrankings-a.csv
Adam Belay,Massachusetts Institute of Technology,https://engineering.mit.edu/faculty-research/year-2017,csrankings-a.csv
Adam Belloum,University of Amsterdam,https://www.uva.nl/profiel/b/e/a.s.z.belloum/a.s.z.belloum.html,csrankings-a.csv
Adam Breuer,Dartmouth College,https://www.adambreuer.com,csrankings-a.csv
Adam Charles,Johns Hopkins University,https://www.bme.jhu.edu/ascharles,csrankings-a.csv
Adam Chlipala,Massachusetts Institute of Technology,http://adam.chlipala.net,csrankings-a.csv
Adam Czajka,University of Notre Dame,https://engineering.nd.edu/profiles/aczajka,csrankings-a.csv
Adam D. Smith 0001,Boston University,http://cs-people.bu.edu/ads22,csrankings-a.csv
Adam Doupé,Arizona State University,http://adamdoupe.com,csrankings-a.csv
Adam Dziedzic,CISPA Helmholtz Center,https://adam-dziedzic.com,csrankings-a.csv
Adam Finkelstein,Princeton University,https://www.cs.princeton.edu/~af,csrankings-a.csv
Adam Hahn,Washington State University,http://www.eecs.wsu.edu/~ahahn/index.html,csrankings-a.csv
Adam Herout,Brno University of Technology,https://www.fit.vut.cz/person/herout,csrankings-a.csv
Adam J. Aviv,George Washington University,https://adamaviv.com,csrankings-a.csv
Adam J. Lee,University of Pittsburgh,http://people.cs.pitt.edu/~adamlee,csrankings-a.csv
Adam Jatowt,University of Innsbruck,https://adammo12.github.io/adamjatowt,csrankings-a.csv
Adam Krzyzak,Concordia University,http://users.encs.concordia.ca/~krzyzak,csrankings-a.csv
Adam Lopez,University of Edinburgh,http://alopez.github.io,csrankings-a.csv
Adam M. Bates,Univ. of Illinois at Urbana-Champaign,http://adambates.org,csrankings-a.csv
Adam M. Smith 0001,Univ. of California - Santa Cruz,https://adamsmith.as,csrankings-a.csv
Adam Morrison 0001,Tel Aviv University,http://www.cs.tau.ac.il/~mad,csrankings-a.csv
Adam O'Neill,University of Massachusetts Amherst,https://groups.cs.umass.edu/oneill,csrankings-a.csv
Adam P. Chester,University of Warwick,https://warwick.ac.uk/fac/sci/dcs/people/adam_chester,csrankings-a.csv
Adam Perer,Carnegie Mellon University,https://perer.org,csrankings-a.csv
Adam Polak 0001,Bocconi University,https://adampolak.github.io,csrankings-a.csv
Adam Przepiórkowski,IPI PAN,https://ipipan.waw.pl/instytut/pracownicy/adam-przepiorkowski,csrankings-a.csv
Adam Prügel-Bennett,University of Southampton,https://www.ecs.soton.ac.uk/people/apb1,csrankings-a.csv
Adam R. Klivans,University of Texas at Austin,https://www.cs.utexas.edu/~klivans,csrankings-a.csv
Adam Richard Klivans,University of Texas at Austin,https://www.cs.utexas.edu/~klivans,csrankings-a.csv
Adam Rogalewicz,Brno University of Technology,https://www.fit.vut.cz/person/rogalew,csrankings-a.csv
Adam Runions,University of Calgary,https://profiles.ucalgary.ca/adam-runions,csrankings-a.csv
Adam Smith 0006,Boston University,http://cs-people.bu.edu/ads22,csrankings-a.csv
Adam Steele,DePaul University,http://facweb.cs.depaul.edu/asteele,csrankings-a.csv
Adam W. Bargteil,Univ. of Maryland - Baltimore County,http://www.csee.umbc.edu/~adamb,csrankings-a.csv
Adam Wade Bargteil,Univ. of Maryland - Baltimore County,http://www.csee.umbc.edu/~adamb,csrankings-a.csv
Adam White 0001,University of Alberta,https://sites.ualberta.ca/~amw8,csrankings-a.csv
Adam Wierman,California Institute of Technology,http://www.cs.caltech.edu/~adamw,csrankings-a.csv
Adam Wolisz,TU Berlin,https://www.tkn.tu-berlin.de/menue/team/wolisz/parameter/de,csrankings-a.csv
Adams Wai-Kin Kong,Nanyang Technological University,https://www3.ntu.edu.sg/home/adamskong,csrankings-a.csv
Adarsh Barik,IIT Delhi,https://adarsh-barik.github.io,csrankings-a.csv
Adarsh S. Sethi,University of Delaware,https://www.eecis.udel.edu/~sethi,csrankings-a.csv
Adarshpal S. Sethi,University of Delaware,https://www.eecis.udel.edu/~sethi,csrankings-a.csv
Adel Abusitta,Polytechnique Montreal,https://www.polymtl.ca/expertises/en/abusitta-adel,csrankings-a.csv
Adel Cherif,Qatar University,http://www.qu.edu.qa/engineering/computer/faculty/adel_ch.php,csrankings-a.csv
Adel Elmaghraby,University of Louisville,http://louisville.edu/speed/people/faculty/elmaghrabyAdel,csrankings-a.csv
Adel Nadjaran Toosi,University of Melbourne,https://findanexpert.unimelb.edu.au/profile/689244-adel-nadjaran-toosi,csrankings-a.csv
Adel Rahmani,IUST,http://www.iust.ac.ir/content/18919/Dr.Torkaman-Rahmani,csrankings-a.csv
Adel Said Elmaghraby,University of Louisville,http://louisville.edu/speed/people/faculty/elmaghrabyAdel,csrankings-a.csv
Adel Torkaman Rahmani,IUST,http://www.iust.ac.ir/content/18919/Dr.Torkaman-Rahmani,csrankings-a.csv
Adele A. Rescigno,University of Salerno,http://old.di.unisa.it/professori/rescigno/MMI/lo.htm,csrankings-a.csv
Adele Anna Rescigno,University of Salerno,http://old.di.unisa.it/professori/rescigno/MMI/lo.htm,csrankings-a.csv
Adelinde M. Uhrmacher,University of Rostock,https://mosi.informatik.uni-rostock.de/team/staff/prof-dr-rer-nat-adelinde-m-uhrmacher,csrankings-a.csv
Adenilso Simão,USP-ICMC,http://icmc.usp.br/pessoas?id=6078529,csrankings-a.csv
Adenilso da Silva Simão,USP-ICMC,http://icmc.usp.br/pessoas?id=6078529,csrankings-a.csv
